end-to-end,端到端测试
system-test,系统测试
acceptance-test,验收测试
regression-test,回归测试
smoke-test,冒烟测试
sanity-test,健全性测试
performance-test,性能测试
load-test,负载测试
stress-test,压力测试
penetration-test,渗透测试
security-test,安全测试
usability-test,可用性测试
compatibility-test,兼容性测试
exploratory-test,探索性测试
A/B-test,A/B测试
canary-test,金丝雀测试
mutation-test,变异测试
fuzz-test,模糊测试
spy,间谍
fake,伪造
dummy,哑元
fixture,测试夹具
setup,设置
teardown,清理
assertion,断言
matcher,匹配器
test-double,测试替身
test-coverage,测试覆盖率
line-coverage,行覆盖率
branch-coverage,分支覆盖率
path-coverage,路径覆盖率
mutation-coverage,变异覆盖率
test-pyramid,测试金字塔
test-suite,测试套件
test-case,测试用例
TDD,测试驱动开发
BDD,行为驱动开发
ATDD,验收测试驱动
red-green-refactor,红绿重构
given-when-then,给定当则
arrange-act-assert,准备执行断言
test-first,测试优先
boundary-value,边界值
equivalence-partitioning,等价类划分
edge-case,边界情况
corner-case,极端情况
happy-path,正常路径
negative-test,负面测试
positive-test,正面测试
property-based,基于属性
snapshot-test,快照测试
visual-regression,视觉回归
contract-test,契约测试
pact,契约
passing,通过
failing,失败
flaky,不稳定
skipped,跳过
pending,待定
quarantined,隔离
broken,损坏
intermittent,间歇性
reproducible,可重现
non-reproducible,不可重现
assertion-error,断言错误
test-failure,测试失败
build-failure,构建失败
test-runner,测试运行器
test-framework,测试框架
mocking-framework,模拟框架
assertion-library,断言库
test-harness,测试工具
continuous-testing,持续测试
test-automation,测试自动化
test-data,测试数据
test-environment,测试环境
test-report,测试报告
