class,类
object,对象
instance,实例
method,方法
variable,变量
field,字段
constructor,构造函数
destructor,析构函数
parameter,参数
argument,实参
return,返回
void,空
final,最终
abstract,抽象
extends,继承
implements,实现
override,重写
overload,重载
annotation,注解
generic,泛型
wildcard,通配符
enum,枚举
import,导入
public,公共
private,私有
protected,受保护
default,默认
synchronized,同步
native,本地
throws,抛出
try-catch,尝试捕获
finally,最终
assert,断言
lambda,Lambda表达式
stream,流
primitive,基本类型
reference,引用类型
integer,整数
long,长整型
short,短整型
byte,字节
float,浮点
double,双精度
boolean,布尔
char,字符
string,字符串
array,数组
list,列表
set,集合
map,映射
collection,集合
iterator,迭代器
comparable,可比较
comparator,比较器
optional,可选
wrapper,包装类
autoboxing,自动装箱
unboxing,自动拆箱
casting,类型转换
conversion,转换
coercion,强制转换
literal,字面量
constant,常量
null,空
undefined,未定义
pointer,指针
heap,堆
stack,栈
garbage,垃圾
allocation,分配
deallocation,释放
leak,泄漏
overflow,溢出
underflow,下溢
corruption,损坏
object-oriented,面向对象
functional,函数式
procedural,过程式
declarative,声明式
imperative,命令式
reactive,响应式
aspect-oriented,面向切面
event-driven,事件驱动
immutability,不可变性
recursion,递归
iteration,迭代
closure,闭包
callback,回调
promise,Promise
future,Future
delegate,委托
reflection,反射
introspection,内省
meta-programming,元编程
duck-typing,鸭子类型
strong-typing,强类型
weak-typing,弱类型
type-inference,类型推断
covariance,协变
contravariance,逆变
invariance,不变
side-effect,副作用
pure-function,纯函数
higher-order,高阶
first-class,一等公民
currying,柯里化
partial-application,部分应用
composition,组合
memoization,记忆化
lazy-evaluation,惰性求值
eager-evaluation,饿汉求值
pattern-matching,模式匹配
destructuring,解构
spread-operator,展开运算符
rest-parameter,剩余参数
