agile,敏捷
scrum,Scrum
sprint,冲刺
retrospective,回顾会议
standup,站会
backlog,待办事项
user-story,用户故事
epic,史诗
velocity,速度
burndown,燃尽图
kanban,看板
increment,增量
stakeholder,利益相关者
product-owner,产品负责人
scrum-master,Scrum大师
definition-of-done,完成定义
acceptance-criteria,验收标准
planning-poker,计划扑克
story-point,故事点
code-review,代码审查
pull-request,拉取请求
merge-request,合并请求
pair-programming,结对编程
mob-programming,群组编程
technical-debt,技术债务
refactoring,重构
clean-code,整洁代码
code-smell,代码异味
lint,代码检查
linter,检查工具
formatter,格式化工具
duplication,重复
maintainability,可维护性
readability,可读性
testability,可测试性
documentation,文档
version-control,版本控制
branching-strategy,分支策略
git-flow,Git流程
trunk-based,主干开发
feature-branch,功能分支
release-branch,发布分支
hotfix,热修复
cherry-pick,精选
rebase,变基
squash,压缩
semantic-versioning,语义化版本
release-notes,发布说明
breaking-change,破坏性变更
deprecation,弃用
migration-guide,迁移指南
milestone,里程碑
deliverable,交付物
deadline,截止日期
scope-creep,范围蔓延
estimation,估算
capacity,产能
blocker,阻塞
risk,风险
mitigation,缓解
post-mortem,事后分析
root-cause-analysis,根因分析
lessons-learned,经验教训
handoff,交接
onboarding,入职培训
knowledge-transfer,知识转移
stakeholder-meeting,干系人会议
status-update,状态更新
