JVM,Java虚拟机
bytecode,字节码
JIT,即时编译
AOT,提前编译
classloader,类加载器
bootstrap-loader,引导类加载器
extension-loader,扩展类加载器
application-loader,应用类加载器
parent-delegation,双亲委派
metaspace,元空间
PermGen,永久代
young-generation,年轻代
old-generation,老年代
Eden,伊甸园
Survivor,幸存者
garbage-collection,垃圾回收
GC,垃圾回收
minor-GC,小GC
major-GC,大GC
full-GC,完全GC
STW,停顿世界
generational,分代
reachability,可达性
mark-sweep,标记清除
mark-compact,标记整理
copying,复制
reference-counting,引用计数
weak-reference,弱引用
soft-reference,软引用
phantom-reference,虚引用
strong-reference,强引用
finalization,终结
finalize,终结方法
G1,G1收集器
ZGC,ZGC收集器
Shenandoah,Shenandoah收集器
concurrent-mark,并发标记
Maven,Maven
Gradle,Gradle
POM,项目对象模型
central,中央仓库
scope,作用域
runtime,运行时
provided,已提供
test,测试
transitive,传递
exclusion,排除
plugin,插件
goal,目标
phase,阶段
clean,清理
install,安装
JAR,JAR包
WAR,WAR包
EAR,EAR包
classpath,类路径
manifest,清单
shade,遮蔽
assembly,组装
property,属性
multi-module,多模块
parent-POM,父POM
version,版本
Hibernate,Hibernate
MyBatis,MyBatis
ORM,对象关系映射
JPA,Java持久化API
mapping,映射
XML,XML
cascade,级联
fetch,抓取
criteria,条件
HQL,Hibernate查询语言
JPQL,Java持久化查询语言
native-query,原生查询
named-query,命名查询
first-level,一级
second-level,二级
query-cache,查询缓存
dirty-check,脏检查
flush,刷新
detached,分离
persist,持久化
remove,移除
find,查找
interceptor,拦截器
listener,监听器
validator,验证器
