process,进程
thread,线程
kernel,内核
system-call,系统调用
interrupt,中断
context-switch,上下文切换
scheduling,调度
scheduler,调度器
priority,优先级
preemption,抢占
time-slice,时间片
deadlock,死锁
starvation,饥饿
race-condition,竞态条件
critical-section,临界区
mutex,互斥锁
semaphore,信号量
spinlock,自旋锁
memory-management,内存管理
virtual-memory,虚拟内存
paging,分页
segmentation,分段
page-fault,缺页错误
swapping,交换
thrashing,颠簸
fragmentation,碎片
file-system,文件系统
inode,索引节点
directory,目录
permission,权限
access-control,访问控制
I/O,输入输出
buffer,缓冲区
cache,缓存
DMA,直接内存访问
register,寄存器
instruction,指令
bootloader,引导程序
TCP,传输控制协议
UDP,用户数据报协议
IP,网际协议
HTTP,超文本传输协议
HTTPS,安全HTTP
SSL/TLS,安全套接层
DNS,域名系统
socket,套接字
port,端口
endpoint,端点
request,请求
response,响应
header,头部
body,主体
payload,有效载荷
packet,数据包
frame,帧
segment,段
datagram,数据报
handshake,握手
connection,连接
session,会话
cookie,Cookie
routing,路由
gateway,网关
proxy,代理
firewall,防火墙
load-balancer,负载均衡器
congestion,拥塞
timeout,超时
retry,重试
keepalive,保活
multiplexing,多路复用
streaming,流式传输
chunk,数据块
compression,压缩
REST,表述性状态转移
resource,资源
route,路由
GET,获取
POST,创建
PUT,更新
DELETE,删除
PATCH,部分更新
OPTIONS,选项
HEAD,头部请求
status-code,状态码
200-OK,成功
201-Created,已创建
400-BadRequest,错误请求
401-Unauthorized,未授权
403-Forbidden,禁止访问
404-NotFound,未找到
500-InternalError,服务器错误
503-Unavailable,服务不可用
CRUD,增删改查
versioning,版本控制
pagination,分页
filtering,过滤
query-parameter,查询参数
path-parameter,路径参数
request-body,请求体
response-body,响应体
content-type,内容类型
accept,接受
authentication,认证
authorization,授权
token,令牌
bearer,持有者
API-key,API密钥
rate-limiting,速率限制
throttling,节流
