Redis,Redis
in-memory,内存
sorted-set,有序集合
hash,哈希
bitmap,位图
hyperloglog,HyperLogLog
geospatial,地理空间
Lua-script,Lua脚本
persistence,持久化
RDB,RDB快照
AOF,追加文件
rewrite,重写
sentinel,哨兵
slot,槽
resharding,重分片
eviction,驱逐
LRU,最近最少使用
LFU,最不经常使用
maxmemory,最大内存
distributed-lock,分布式锁
Redlock,Redlock算法
INCR,自增
DECR,自减
SETNX,不存在则设置
GETSET,获取并设置
WATCH,监视
read-through,读穿
write-around,绕写
cache-warming,缓存预热
lazy-loading,懒加载
eager-loading,饿加载
cache-hit,缓存命中
cache-miss,缓存未命中
hit-rate,命中率
miss-rate,未命中率
cold-start,冷启动
cache-breakdown,缓存击穿
null-cache,空值缓存
hotkey,热点键
big-key,大键
invalidation,失效
refresh,刷新
staleness,过时性
freshness,新鲜度
coherence,一致性
synchronization,同步
double-delete,双删
delayed-delete,延迟删除
multi-level,多级
local-cache,本地缓存
distributed-cache,分布式缓存
cache-hierarchy,缓存层次
tiered-cache,分层缓存
