database,数据库
table,表
row,行
column,列
record,记录
schema,模式
primary-key,主键
foreign-key,外键
index,索引
unique,唯一
constraint,约束
normalization,规范化
denormalization,反规范化
transaction,事务
ACID,ACID特性
atomicity,原子性
consistency,一致性
isolation,隔离性
durability,持久性
commit,提交
savepoint,保存点
lock,锁
pessimistic-lock,悲观锁
optimistic-lock,乐观锁
isolation-level,隔离级别
read-uncommitted,读未提交
read-committed,读已提交
repeatable-read,可重复读
serializable,可串行化
dirty-read,脏读
non-repeatable-read,不可重复读
phantom-read,幻读
query,查询
SELECT,查询
INSERT,插入
UPDATE,更新
JOIN,连接
INNER-JOIN,内连接
LEFT-JOIN,左连接
RIGHT-JOIN,右连接
FULL-JOIN,全连接
WHERE,条件
GROUP-BY,分组
HAVING,分组条件
ORDER-BY,排序
performance,性能
execution-plan,执行计划
explain,解释
slow-query,慢查询
covering-index,覆盖索引
composite-index,组合索引
full-table-scan,全表扫描
index-scan,索引扫描
cardinality,基数
selectivity,选择性
statistics,统计信息
histogram,直方图
partitioning,分区
sharding,分片
replication,复制
master,主库
slave,从库
read-replica,只读副本
failover,故障转移
backup,备份
restore,恢复
snapshot,快照
archive,归档
purge,清除
vacuum,清理
analyze,分析
defragment,碎片整理
collation,排序规则
charset,字符集
encoding,编码
buffer-pool,缓冲池
redo-log,重做日志
undo-log,撤销日志
binlog,二进制日志
NoSQL,非关系型数据库
document,文档
key-value,键值
column-family,列族
relationship,关系
embedded,嵌入
denormalized,反规范化
eventual-consistency,最终一致性
BASE,BASE理论
basically-available,基本可用
soft-state,软状态
eventually-consistent,最终一致
CAP-theorem,CAP定理
availability,可用性
partition-tolerance,分区容错
replica-set,副本集
shard,分片
hash-based,基于哈希
range-based,基于范围
aggregation,聚合
projection,投影
upsert,插入或更新
bulk,批量
time-to-live,生存时间
expiration,过期
compaction,压缩
rebalancing,重新平衡
