Docker,Docker
image,镜像
Dockerfile,Dockerfile
layer,层
base-image,基础镜像
tag,标签
registry,镜像仓库
stop,停止
restart,重启
exec,执行
logs,日志
inspect,检查
volume,卷
mount,挂载
bind-mount,绑定挂载
network,网络
bridge,桥接
host,主机
overlay,覆盖
port-mapping,端口映射
expose,暴露
entrypoint,入口点
CMD,命令
WORKDIR,工作目录
COPY,复制
ADD,添加
multi-stage,多阶段
docker-compose,Docker Compose
swarm,集群
Kubernetes,Kubernetes
K8s,K8s
control-plane,控制平面
pod,Pod
deployment,部署
ReplicaSet,副本集
StatefulSet,有状态集
DaemonSet,守护集
Job,任务
CronJob,定时任务
ClusterIP,集群IP
NodePort,节点端口
LoadBalancer,负载均衡器
Ingress,入口
ConfigMap,配置映射
Secret,密钥
PV,持久卷
PVC,持久卷声明
StorageClass,存储类
namespace,命名空间
label,标签
selector,选择器
resource-quota,资源配额
limit-range,限制范围
HPA,水平Pod自动扩展
liveness-probe,存活探针
readiness-probe,就绪探针
startup-probe,启动探针
kubectl,kubectl
CI/CD,持续集成/持续部署
continuous-integration,持续集成
continuous-delivery,持续交付
continuous-deployment,持续部署
trigger,触发器
webhook,Webhook
poll,轮询
Jenkins,Jenkins
GitLab-CI,GitLab CI
GitHub-Actions,GitHub Actions
Travis-CI,Travis CI
CircleCI,Circle CI
agent,代理
runner,运行器
workspace,工作空间
checkout,检出
unit-test,单元测试
integration-test,集成测试
code-coverage,代码覆盖率
static-analysis,静态分析
SonarQube,SonarQube
