concurrency,并发
parallelism,并行
multithreading,多线程
multiprocessing,多进程
thread-pool,线程池
daemon,守护线程
runnable,可运行
callable,可调用
completable-future,可完成Future
fork-join,分叉合并
work-stealing,工作窃取
lifecycle,生命周期
NEW,新建
BLOCKED,阻塞
WAITING,等待
TIMED_WAITING,超时等待
TERMINATED,终止
start,启动
run,运行
sleep,睡眠
yield,让步
interrupted,中断状态
preemptive,抢占式
cooperative,协作式
CPU-bound,CPU密集
I/O-bound,I/O密集
thread-local,线程本地
inheritable,可继承
unlock,解锁
intrinsic-lock,内置锁
reentrant,可重入
non-reentrant,不可重入
fair-lock,公平锁
unfair-lock,非公平锁
exclusive-lock,独占锁
shared-lock,共享锁
read-lock,读锁
write-lock,写锁
read-write-lock,读写锁
tryLock,尝试锁
lockInterruptibly,可中断锁
condition,条件
wait,等待
notify,通知
notifyAll,通知全部
await,等待
signal,信号
signalAll,信号全部
permit,许可
acquire,获取
barrier,屏障
latch,闩锁
countdown,倒计数
phaser,阶段器
exchanger,交换器
LockSupport,锁支持
park,停靠
unpark,唤醒
data-race,数据竞争
livelock,活锁
priority-inversion,优先级反转
contention,争用
mutual-exclusion,互斥
atomic-operation,原子操作
visibility,可见性
reordering,重排序
happens-before,先行发生
memory-barrier,内存屏障
fence,栅栏
volatile-read,易失读
volatile-write,易失写
final-field,Final字段
safe-publication,安全发布
thread-safe,线程安全
thread-unsafe,线程不安全
lock-free,无锁
wait-free,无等待
CAS,比较交换
ABA-problem,ABA问题
atomic-variable,原子变量
atomic-reference,原子引用
atomic-array,原子数组
field-updater,字段更新器
lazy-initialization,懒初始化
double-checked-locking,双重检查锁
singleton,单例
thread-confinement,线程限制
stack-confinement,栈限制
thread-safety,线程安全性
composability,可组合性
