producer,生产者
consumer,消费者
broker,代理
topic,主题
exchange,交换机
routing-key,路由键
binding,绑定
publish,发布
subscribe,订阅
push,推送
pull,拉取
offset,偏移量
auto-commit,自动提交
manual-commit,手动提交
positive-ack,正向确认
negative-ack,负向确认
requeue,重新入队
ordering,顺序
FIFO,先进先出
delay,延迟
scheduled,定时
retention,保留
Kafka,Kafka
Zookeeper,Zookeeper
ISR,同步副本集
log-segment,日志段
consumer-group,消费者组
rebalance,重平衡
coordinator,协调器
partition-key,分区键
Kafka-Connect,Kafka连接器
Kafka-Streams,Kafka流
KTable,KTable
KStream,KStream
changelog,变更日志
state-store,状态存储
windowing,窗口化
RabbitMQ,RabbitMQ
AMQP,高级消息队列协议
vhost,虚拟主机
direct-exchange,直连交换机
fanout-exchange,扇出交换机
topic-exchange,主题交换机
headers-exchange,头部交换机
durable,持久化
exclusive,独占
auto-delete,自动删除
TTL,生存时间
prefetch,预取
QoS,服务质量
publisher-confirm,发布者确认
mandatory,强制
immediate,立即
alternate-exchange,备用交换机
shovel,铲子插件
federation,联邦
