linked-list,链表
queue,队列
deque,双端队列
priority-queue,优先队列
tree,树
binary-tree,二叉树
balanced-tree,平衡树
red-black-tree,红黑树
AVL-tree,AVL树
B-tree,B树
trie,字典树
graph,图
vertex,顶点
edge,边
node,节点
leaf,叶子节点
root,根节点
parent,父节点
child,子节点
sibling,兄弟节点
ancestor,祖先节点
descendant,后代节点
depth,深度
height,高度
level,层级
degree,度
path,路径
sorting,排序
searching,搜索
traversal,遍历
divide-conquer,分治
dynamic-programming,动态规划
greedy,贪心
backtracking,回溯
brute-force,暴力
heuristic,启发式
pruning,剪枝
sliding-window,滑动窗口
two-pointer,双指针
prefix-sum,前缀和
bit-manipulation,位操作
union-find,并查集
topological-sort,拓扑排序
shortest-path,最短路径
minimum-spanning-tree,最小生成树
depth-first,深度优先
breadth-first,广度优先
binary-search,二分查找
hash-table,哈希表
collision,冲突
chaining,链地址法
probing,探测
load-factor,负载因子
rehashing,重哈希
bucket,桶
bloom-filter,布隆过滤器
consistent-hashing,一致性哈希
skip-list,跳表
segment-tree,线段树
complexity,复杂度
time-complexity,时间复杂度
space-complexity,空间复杂度
big-O,大O记号
logarithmic,对数
linear,线性
quadratic,平方
cubic,立方
exponential,指数
factorial,阶乘
polynomial,多项式
amortized,摊还
worst-case,最坏情况
best-case,最好情况
average-case,平均情况
upper-bound,上界
lower-bound,下界
tight-bound,紧界
asymptotic,渐进
optimal,最优
suboptimal,次优
efficient,高效
inefficient,低效
scalability,可扩展性
bottleneck,瓶颈
optimization,优化
trade-off,权衡
overhead,开销
throughput,吞吐量
latency,延迟
bandwidth,带宽
utilization,利用率
saturation,饱和
degradation,降级
