microservice,微服务
monolith,单体
service,服务
domain,领域
bounded-context,限界上下文
domain-driven,领域驱动
aggregate,聚合
entity,实体
value-object,值对象
API-gateway,API网关
service-mesh,服务网格
sidecar,边车
service-discovery,服务发现
service-registry,服务注册
health-check,健康检查
heartbeat,心跳
load-balancing,负载均衡
round-robin,轮询
least-connections,最少连接
weighted,加权
sticky-session,粘性会话
fallback,降级
graceful-degradation,优雅降级
API-versioning,API版本控制
backward-compatibility,向后兼容
contract,契约
consumer-driven,消费者驱动
stub,存根
mock,模拟
canary-deployment,金丝雀部署
blue-green,蓝绿部署
rolling-update,滚动更新
feature-flag,特性开关
RPC,远程过程调用
GraphQL,GraphQL
gRPC,gRPC
protocol-buffer,协议缓冲
Thrift,Thrift
message-queue,消息队列
pub-sub,发布订阅
point-to-point,点对点
request-reply,请求响应
fire-and-forget,即发即弃
acknowledgment,确认
at-most-once,至多一次
dead-letter,死信
poison-message,毒药消息
backpressure,背压
flow-control,流量控制
correlation-id,关联ID
tracing,追踪
span,跨度
baggage,行李
sampling,采样
instrumentation,埋点
observability,可观测性
telemetry,遥测
metrics,指标
database-per-service,每服务一库
shared-database,共享数据库
data-ownership,数据所有权
compensating-transaction,补偿事务
event-sourcing,事件溯源
event-store,事件存储
CQRS,命令查询分离
command,命令
read-model,读模型
write-model,写模型
materialized-view,物化视图
change-data-capture,变更数据捕获
outbox-pattern,发件箱模式
inbox-pattern,收件箱模式
dual-write,双写
data-replication,数据复制
cache-aside,旁路缓存
write-through,写穿
write-behind,写回
cache-stampede,缓存击穿
cache-penetration,缓存穿透
cache-avalanche,缓存雪崩
