algorithm,算法
architecture,架构
implementation,实现
framework,框架
infrastructure,基础设施
component,组件
module,模块
interface,接口
abstraction,抽象
encapsulation,封装
inheritance,继承
polymorphism,多态
dependency,依赖
coupling,耦合
cohesion,内聚
paradigm,范式
methodology,方法论
specification,规范
protocol,协议
standard,标准
convention,约定
pattern,模式
principle,原则
practice,实践
workflow,工作流
pipeline,流水线
ecosystem,生态系统
toolchain,工具链
repository,仓库
artifact,构建产物
implement,实现
deploy,部署
configure,配置
initialize,初始化
instantiate,实例化
invoke,调用
execute,执行
compile,编译
build,构建
package,打包
release,发布
rollback,回滚
migrate,迁移
refactor,重构
optimize,优化
scale,扩展
monitor,监控
debug,调试
troubleshoot,排查故障
profile,性能分析
benchmark,基准测试
validate,验证
sanitize,清理
serialize,序列化
deserialize,反序列化
parse,解析
format,格式化
transform,转换
encrypt,加密
decrypt,解密
available,可用的
unavailable,不可用的
stable,稳定的
unstable,不稳定的
reliable,可靠的
unreliable,不可靠的
consistent,一致的
inconsistent,不一致的
scalable,可扩展的
maintainable,可维护的
robust,健壮的
resilient,有韧性的
fault-tolerant,容错的
idempotent,幂等的
atomic,原子的
synchronous,同步的
asynchronous,异步的
blocking,阻塞的
non-blocking,非阻塞的
stateful,有状态的
stateless,无状态的
mutable,可变的
immutable,不可变的
volatile,易失的
persistent,持久的
transient,瞬态的
concurrent,并发的
parallel,并行的
sequential,顺序的
deterministic,确定的
non-deterministic,不确定的
lazy,懒加载的
eager,饿加载的
dynamic,动态的
static,静态的
distributed,分布式的
centralized,集中式的
decentralized,去中心化的
monolithic,单体的
modular,模块化的
class,类
object,对象
instance,实例
method,方法
variable,变量
field,字段
constructor,构造函数
destructor,析构函数
parameter,参数
argument,实参
return,返回
void,空
final,最终
abstract,抽象
extends,继承
implements,实现
override,重写
overload,重载
annotation,注解
generic,泛型
wildcard,通配符
enum,枚举
import,导入
public,公共
private,私有
protected,受保护
default,默认
synchronized,同步
native,本地
throws,抛出
try-catch,尝试捕获
finally,最终
assert,断言
lambda,Lambda表达式
stream,流
primitive,基本类型
reference,引用类型
integer,整数
long,长整型
short,短整型
byte,字节
float,浮点
double,双精度
boolean,布尔
char,字符
string,字符串
array,数组
list,列表
set,集合
map,映射
collection,集合
iterator,迭代器
comparable,可比较
comparator,比较器
optional,可选
wrapper,包装类
autoboxing,自动装箱
unboxing,自动拆箱
casting,类型转换
conversion,转换
coercion,强制转换
literal,字面量
constant,常量
null,空
undefined,未定义
pointer,指针
heap,堆
stack,栈
garbage,垃圾
allocation,分配
deallocation,释放
leak,泄漏
overflow,溢出
underflow,下溢
corruption,损坏
object-oriented,面向对象
functional,函数式
procedural,过程式
declarative,声明式
imperative,命令式
reactive,响应式
aspect-oriented,面向切面
event-driven,事件驱动
immutability,不可变性
recursion,递归
iteration,迭代
closure,闭包
callback,回调
promise,Promise
future,Future
delegate,委托
reflection,反射
introspection,内省
meta-programming,元编程
duck-typing,鸭子类型
strong-typing,强类型
weak-typing,弱类型
type-inference,类型推断
covariance,协变
contravariance,逆变
invariance,不变
side-effect,副作用
pure-function,纯函数
higher-order,高阶
first-class,一等公民
currying,柯里化
partial-application,部分应用
composition,组合
memoization,记忆化
lazy-evaluation,惰性求值
eager-evaluation,饿汉求值
pattern-matching,模式匹配
destructuring,解构
spread-operator,展开运算符
rest-parameter,剩余参数
linked-list,链表
queue,队列
deque,双端队列
priority-queue,优先队列
tree,树
binary-tree,二叉树
balanced-tree,平衡树
red-black-tree,红黑树
AVL-tree,AVL树
B-tree,B树
trie,字典树
graph,图
vertex,顶点
edge,边
node,节点
leaf,叶子节点
root,根节点
parent,父节点
child,子节点
sibling,兄弟节点
ancestor,祖先节点
descendant,后代节点
depth,深度
height,高度
level,层级
degree,度
path,路径
sorting,排序
searching,搜索
traversal,遍历
divide-conquer,分治
dynamic-programming,动态规划
greedy,贪心
backtracking,回溯
brute-force,暴力
heuristic,启发式
pruning,剪枝
sliding-window,滑动窗口
two-pointer,双指针
prefix-sum,前缀和
bit-manipulation,位操作
union-find,并查集
topological-sort,拓扑排序
shortest-path,最短路径
minimum-spanning-tree,最小生成树
depth-first,深度优先
breadth-first,广度优先
binary-search,二分查找
hash-table,哈希表
collision,冲突
chaining,链地址法
probing,探测
load-factor,负载因子
rehashing,重哈希
bucket,桶
bloom-filter,布隆过滤器
consistent-hashing,一致性哈希
skip-list,跳表
segment-tree,线段树
complexity,复杂度
time-complexity,时间复杂度
space-complexity,空间复杂度
big-O,大O记号
logarithmic,对数
linear,线性
quadratic,平方
cubic,立方
exponential,指数
factorial,阶乘
polynomial,多项式
amortized,摊还
worst-case,最坏情况
best-case,最好情况
average-case,平均情况
upper-bound,上界
lower-bound,下界
tight-bound,紧界
asymptotic,渐进
optimal,最优
suboptimal,次优
efficient,高效
inefficient,低效
scalability,可扩展性
bottleneck,瓶颈
optimization,优化
trade-off,权衡
overhead,开销
throughput,吞吐量
latency,延迟
bandwidth,带宽
utilization,利用率
saturation,饱和
degradation,降级
process,进程
thread,线程
kernel,内核
