response-time,响应时间
QPS,每秒查询数
TPS,每秒事务数
RPS,每秒请求数
CPU-utilization,CPU利用率
memory-usage,内存使用
disk-I/O,磁盘I/O
network-bandwidth,网络带宽
IOPS,每秒I/O操作数
percentile,百分位
p50,50分位
p95,95分位
p99,99分位
p999,99.9分位
average,平均值
median,中位数
variance,方差
standard-deviation,标准差
SLA,服务级别协议
SLO,服务级别目标
SLI,服务级别指标
uptime,正常运行时间
downtime,停机时间
reliability,可靠性
MTBF,平均无故障时间
MTTR,平均修复时间
error-rate,错误率
success-rate,成功率
retry-rate,重试率
timeout-rate,超时率
connection-pool,连接池
profiling,性能分析
benchmarking,基准测试
caching,缓存
prefetching,预取
preloading,预加载
minification,最小化
bundling,打包
batching,批处理
debouncing,防抖
pooling,池化
connection-reuse,连接复用
keep-alive,保持连接
pipelining,流水线
parallel-processing,并行处理
indexing,索引
write-buffer,写缓冲
memory-mapping,内存映射
zero-copy,零拷贝
CDN,内容分发网络
edge-caching,边缘缓存
static-content,静态内容
dynamic-content,动态内容
resource-pooling,资源池化
object-pooling,对象池
JVM-tuning,JVM调优
heap-size,堆大小
Xms,初始堆
Xmx,最大堆
Xmn,年轻代
Xss,栈大小
MetaspaceSize,元空间大小
MaxMetaspaceSize,最大元空间
GC-tuning,GC调优
GC-algorithm,GC算法
Serial-GC,串行GC
Parallel-GC,并行GC
CMS,CMS收集器
G1-GC,G1收集器
pause-time,暂停时间
footprint,内存占用
survivor-ratio,幸存区比例
tenuring-threshold,晋升阈值
parallel-threads,并行线程数
concurrent-threads,并发线程数
GC-log,GC日志
verbose-GC,详细GC
PrintGCDetails,打印GC详情
heap-dump,堆转储
thread-dump,线程转储
JIT-compilation,JIT编译
code-cache,代码缓存
