200-OK,成功
201-Created,已创建
400-BadRequest,错误请求
401-Unauthorized,未授权
403-Forbidden,禁止访问
404-NotFound,未找到
500-InternalError,服务器错误
503-Unavailable,服务不可用
A/B-test,A/B测试
ABA-problem,ABA问题
ABAC,基于属性
ACID,ACID特性
ADD,添加
AES,AES加密
AMQP,高级消息队列协议
AOF,追加文件
AOT,提前编译
API-gateway,API网关
API-key,API密钥
API-versioning,API版本控制
ATDD,验收测试驱动
AVL-tree,AVL树
B-tree,B树
BASE,BASE理论
BDD,行为驱动开发
BLOCKED,阻塞
BaaS,后端即服务
CAP-theorem,CAP定理
CAS,比较交换
CDN,内容分发网络
CI/CD,持续集成/持续部署
CMD,命令
CMS,CMS收集器
COPY,复制
CPU-bound,CPU密集
CPU-utilization,CPU利用率
CQRS,命令查询分离
CRUD,增删改查
CSRF,跨站请求伪造
CircleCI,Circle CI
ClusterIP,集群IP
ConfigMap,配置映射
CronJob,定时任务
DAG,有向无环图
DDoS,分布式拒绝
DECR,自减
DELETE,删除
DIP,依赖倒置
DMA,直接内存访问
DNS,域名系统
DRY,不要重复
DaemonSet,守护集
Docker,Docker
Dockerfile,Dockerfile
EAR,EAR包
Eden,伊甸园
FIFO,先进先出
FULL-JOIN,全连接
FaaS,函数即服务
G1,G1收集器
G1-GC,G1收集器
GC,垃圾回收
GC-algorithm,GC算法
GC-log,GC日志
GC-tuning,GC调优
GDPR,通用数据保护
GET,获取
GETSET,获取并设置
GROUP-BY,分组
GitHub-Actions,GitHub Actions
GitLab-CI,GitLab CI
Gradle,Gradle
GraphQL,GraphQL
HA,高可用
HAVING,分组条件
HEAD,头部请求
HIPAA,健康保险法
HMAC,HMAC
HPA,水平Pod自动扩展
HQL,Hibernate查询语言
HTTP,超文本传输协议
HTTPS,安全HTTP
Hibernate,Hibernate
I'm-not-sure,我不确定
I-believe,我相信
I-don't-know,我不知道
I-think,我认为
I-would-say,我会说
I/O,输入输出
I/O-bound,I/O密集
INCR,自增
INNER-JOIN,内连接
INSERT,插入
IOPS,每秒I/O操作数
IP,网际协议
ISP,接口隔离
ISR,同步副本集
Ingress,入口
JAR,JAR包
JIT,即时编译
JIT-compilation,JIT编译
JOIN,连接
JPA,Java持久化API
JPQL,Java持久化查询语言
JVM,Java虚拟机
JVM-tuning,JVM调优
JWT,JWT令牌
Jenkins,Jenkins
Job,任务
K8s,K8s
KISS,保持简单
KStream,KStream
KTable,KTable
Kafka,Kafka
Kafka-Connect,Kafka连接器
Kafka-Streams,Kafka流
Kubernetes,Kubernetes
LEFT-JOIN,左连接
LFU,最不经常使用
LRU,最近最少使用
LSM-tree,LSM树
LSP,里氏替换
LoadBalancer,负载均衡器
LockSupport,锁支持
Lua-script,Lua脚本
MTBF,平均无故障时间
MTTR,平均修复时间
MVC,MVC模式
MVP,MVP模式
MVVM,MVVM模式
MapReduce,MapReduce
Maven,Maven
MaxMetaspaceSize,最大元空间
MetaspaceSize,元空间大小
MyBatis,MyBatis
NEW,新建
NoSQL,非关系型数据库
NodePort,节点端口
OAuth,OAuth
OCP,开闭原则
OPTIONS,选项
ORDER-BY,排序
ORM,对象关系映射
OpenID,OpenID
PATCH,部分更新
PCI-DSS,PCI数据安全
POM,项目对象模型
POST,创建
PUT,更新
PV,持久卷
PVC,持久卷声明
Parallel-GC,并行GC
Paxos,Paxos算法
PermGen,永久代
PrintGCDetails,打印GC详情
QPS,每秒查询数
