Spring,Spring框架
IoC,控制反转
DI,依赖注入
bean,Bean
container,容器
ApplicationContext,应用上下文
BeanFactory,Bean工厂
autowire,自动装配
inject,注入
qualifier,限定符
primary,首选
prototype,原型
controller,控制器
configuration,配置
bean-definition,Bean定义
init-method,初始化方法
destroy-method,销毁方法
post-construct,构造后
pre-destroy,销毁前
lazy-init,懒初始化
depends-on,依赖于
factory-bean,工厂Bean
factory-method,工厂方法
lookup-method,查找方法
replaced-method,替换方法
value,值
placeholder,占位符
conditional,条件
component-scan,组件扫描
base-package,基础包
filter,过滤器
include-filter,包含过滤器
exclude-filter,排除过滤器
properties,属性文件
YAML,YAML
environment,环境
PropertySource,属性源
AOP,面向切面编程
aspect,切面
join-point,连接点
pointcut,切点
advice,通知
before,前置
after,后置
after-returning,返回后
after-throwing,抛出后
around,环绕
weaving,织入
target,目标对象
JDK-proxy,JDK代理
CGLIB,CGLIB
introduction,引入
declare-parents,声明父类
execution,执行
within,范围内
this,This
target-pointcut,目标切点
args,参数
@annotation,注解
@within,类注解
@target,目标注解
@args,参数注解
ProceedingJoinPoint,执行连接点
proceed,继续执行
order,顺序
Spring-Boot,Spring Boot
auto-configuration,自动配置
starter,启动器
dependency-management,依赖管理
application.properties,应用配置
application.yml,应用配置
SpringBootApplication,启动注解
EnableAutoConfiguration,启用自动配置
ComponentScan,组件扫描
ConditionalOnClass,类存在条件
ConditionalOnMissingBean,Bean缺失条件
ConditionalOnProperty,属性条件
ConfigurationProperties,配置属性
EnableConfigurationProperties,启用配置属性
active-profile,激活配置
externalized-configuration,外部化配置
command-line,命令行
environment-variable,环境变量
actuator,执行器
health,健康检查
info,信息
env,环境
beans,Bean列表
mappings,映射
loggers,日志器
threaddump,线程转储
heapdump,堆转储
embedded-server,内嵌服务器
Tomcat,Tomcat
Jetty,Jetty
Undertow,Undertow
fat-jar,胖JAR
executable-jar,可执行JAR
devtools,开发工具
hot-reload,热重载
banner,横幅
